título,precio,habitaciones,área,ascensor
"Ático en calle Manacor, La Soledat, Palma de Mallorca",219.000€,4 hab.,115 m²,True
"Piso en calle Manacor, Foners, Palma de Mallorca",458.000€,3 hab.,130 m²,True
"Piso en vasco de gama, Son Armadams, Palma de Mallorca",398.000€,4 hab.,135 m²,True
"Piso en La Bonanova - Porto Pi, Palma de Mallorca",1.075.000€,3 hab.,268 m²,False
"Piso en calle d'Andrea Doria, Son Armadams, Palma de Mallorca",475.000€,4 hab.,135 m²,True
"Piso en Sta Catalina - El Jonquet, Palma de Mallorca",550.000€,4 hab.,130 m²,True
"Chalet en Puntiró, Palma de Mallorca",2.200.000€,5 hab.,690 m²,False
"Piso en Son Cladera - Son Fuster, Palma de Mallorca",307.900€,3 hab.,103 m²,True
"Chalet adosado en Son Ferriol, Palma de Mallorca",380.000€,3 hab.,112 m²,False
"Piso en Les Maravelles, Palma de Mallorca",650.000€,2 hab.,80 m²,True
"Piso en calle de Cerdà, Sta Catalina - El Jonquet, Palma de Mallorca",379.000€,2 hab.,90 m²,True
"Ático en La Teulera, Palma de Mallorca",880.000€,3 hab.,147 m²,True
"Piso en Son Vida, Palma de Mallorca",1.750.000€,5 hab.,267 m²,True
"Casa o chalet independiente en Genova, Palma de Mallorca",4.900.000€,4 hab.,515 m²,False
"Piso en Sta Catalina - El Jonquet, Palma de Mallorca",1.190.000€,3 hab.,205 m²,True
"Piso en La Bonanova - Porto Pi, Palma de Mallorca",925.000€,2 hab.,172 m²,True
"Piso en Sta Catalina - El Jonquet, Palma de Mallorca",445.000€,3 hab.,98 m²,True
"Chalet adosado en Can Morro, La Bonanova - Porto Pi, Palma de Mallorca",1.300.000€,4 hab.,211 m²,False
"Chalet adosado en Sant Agustí, Palma de Mallorca",768.000€,4 hab.,280 m²,False
"Dúplex en Republica dominicana, Son Espanyolet, Palma de Mallorca",359.000€,4 hab.,150 m²,True
"Chalet en Son Roca - Son Ximelis - Son Anglada, Palma de Mallorca",1.390.000€,4 hab.,412 m²,False
"Chalet en Establiments - Son Sardina, Palma de Mallorca",1.820.000€,6 hab.,540 m²,False
"Piso en Costa d'en Brossa, Sant Nicolau, Palma de Mallorca",595.000€,3 hab.,120 m²,True
"Piso en calle de la Fàbrica, Sta Catalina - El Jonquet, Palma de Mallorca",1.950.000€,3 hab.,127 m²,True
"Piso en El Terreno, Palma de Mallorca",799.000€,4 hab.,135 m²,True
"Casa o chalet independiente en Puntiró, Palma de Mallorca",2.200.000€,6 hab.,690 m²,False
"Ático en avenida argenitna, Camp d'En Serralta , Palma de Mallorca",515.000€,3 hab.,136 m²,True
"Piso en calle d'Eusebi Estada, Plaça de Toros, Palma de Mallorca",278.000€,3 hab.,107 m²,True
"Piso en Son Xigala, Palma de Mallorca",960.000€,4 hab.,162 m²,True
"Piso en Coll d'En Rabassa, Palma de Mallorca",395.000€,3 hab.,110 m²,True
"Chalet pareado en Les Maravelles, Palma de Mallorca",460.000€,3 hab.,102 m²,False
"Piso en calle d'Aragó, Pere Garau, Palma de Mallorca",359.000€,3 hab.,96 m²,True
"Ático en avenida argenitna, Camp d'En Serralta , Palma de Mallorca",515.000€,3 hab.,136 m²,True
"Casa o chalet independiente en Zona son Orlandis d'Amunt, Son Ferriol, Palma de Mallorca",2.900.000€,4 hab.,1.200 m²,False
